Technology,Unit,2021,2035,2050
Battery storage,USD2020/kWh,330,186,149
Biomass,USD2020/kWh,1600,1500,1400
Gas - Combined Cycle (CCGT),USD2020/kWh,673,663,654
Coal - CCS,USD2020/kWh,3355,3208,3061
Coal,USD2020/kWh,1511,1499,1488
Geothermal,USD2020/kWh,3423,3273,3123
Hydro,USD2020/kWh,1792,1770,1748
Gas - Open Cycle (OCGT),USD2020/kWh,672,658,645
Solar Photovoltaic,USD2020/kWh,602,542,483
Nuclear,USD2020/kWh,4000,4000,4000
Waste,USD2020/kWh,5200,4900,4600
Wave,USD2020/kWh,5100,5100,5100
Wind - Offshore,USD2020/kWh,2634,2473,2313
Wind - Onshore,USD2020/kWh,1280,1209,1138
